,City Name,Latitude,Longitude,Temperature (Farenheit),Humidity %,Cloudiness %,Wind Speed (MPH),Country,Date
25,Thompson,55.74,-97.86,19.4,85,75,13.87,CA,1604960024
26,Matamoros,25.53,-103.25,93.2,16,5,10.04,MX,1604960156
27,Tuktoyaktuk,69.45,-133.04,-2.2,77,75,13.87,CA,1604960037
28,Elizabeth City,36.29,-76.25,70.52,69,1,10.29,US,1604960278
29,Anadyr,64.75,177.48,28.4,92,75,33.55,RU,1604960053
30,Cabo San Lucas,22.89,-109.91,81.23,57,5,16.11,MX,1604959765
31,Hithadhoo,-0.6,73.08,83.62,73,100,14.88,MV,1604960063
32,Punta Arenas,-53.15,-70.92,51.8,71,75,12.75,CL,1604960019
33,Aksarka,66.56,67.8,11.48,96,99,5.48,RU,1604960554
34,Hasaki,35.73,140.83,40.86,81,40,3.36,JP,1604959958
35,San Andrés,12.58,-81.7,84.2,74,75,5.82,CO,1604960050
36,Hilo,19.73,-155.09,79.23,62,75,8.05,US,1604959963
37,Ponta do Sol,32.67,-17.1,60.21,68,40,8.05,PT,1604960060
38,Port Elizabeth,-33.92,25.57,53.6,81,0,8.05,ZA,1604960036
39,Albany,42.6,-73.97,59.09,55,0,2.48,US,1604960033
40,Mahébourg,-20.41,57.7,71.6,78,40,9.17,MU,1604960555
41,New Norfolk,-42.78,147.06,61.02,61,91,1.01,AU,1604960035
42,Kavaratti,10.57,72.64,82.96,78,60,12.71,IN,1604960052
43,Kavieng,-2.57,150.8,83.1,72,100,5.35,PG,1604960058
44,Sisimiut,66.94,-53.67,14.25,92,88,10.22,GL,1604960095
45,Tomaszów Lubelski,50.45,23.42,42.01,99,100,6.73,PL,1604960555
46,Tamala,52.54,43.25,31.39,94,33,12.59,RU,1604960555
47,Kearney,40.7,-99.08,30.94,92,90,21.92,US,1604960556
48,Omboué,-1.57,9.26,75.24,89,100,4.5,GA,1604960069
49,Saint George,37.1,-113.58,47.1,50,75,9.08,US,1604960123
50,Bredasdorp,-34.53,20.04,50.0,81,18,4.7,ZA,1604960021
51,Sena Madureira,-9.07,-68.66,83.32,67,99,3.94,BR,1604960556
52,Pizhanka,57.46,48.54,29.55,96,100,11.1,RU,1604960408
53,Gulbarga,17.33,76.83,61.27,57,0,8.05,IN,1604960557
54,Avarua,-21.21,-159.78,80.6,78,2,8.72,CK,1604960025
55,Ancud,-41.87,-73.82,60.39,59,9,10.29,CL,1604960060
56,Basco,20.45,121.97,78.85,82,93,30.8,PH,1604960559
57,Bilma,18.69,12.92,69.67,28,0,10.07,NE,1604960559
58,Ushuaia,-54.8,-68.3,51.8,43,40,12.75,AR,1604960026
59,Port Alfred,-33.59,26.89,61.0,62,100,5.99,ZA,1604960054
60,Sakaiminato,35.55,133.23,46.4,87,75,4.7,JP,1604960559
61,Cidreira,-30.18,-50.21,67.12,91,100,17.18,BR,1604960051
62,Sidi Ali,36.1,0.42,60.35,94,0,1.39,DZ,1604960559
63,Krasnosel'kup,65.7,82.47,8.56,95,87,3.44,RU,1604960560
64,Banda Aceh,5.56,95.32,78.03,80,47,4.9,ID,1604960560
65,Faanui,-16.48,-151.75,78.44,80,100,13.76,PF,1604960069
66,Tazovsky,67.47,78.7,4.01,94,100,6.4,RU,1604960560
67,Bubaque,11.28,-15.83,82.72,79,0,12.82,GW,1604960560
68,Monrovia,6.3,-10.8,78.8,94,75,4.36,LR,1604960561
69,Springfield,37.22,-93.3,69.55,77,40,14.99,US,1604960506
70,Mukhen,48.1,136.1,11.68,89,70,7.45,RU,1604960098
71,Shellbrook,53.22,-106.4,10.4,72,20,10.29,CA,1604960561
72,Broome,42.25,-75.83,60.37,37,1,5.82,US,1604960561
73,Cape Town,-33.93,18.42,56.61,66,0,12.75,ZA,1604960029
74,Petrozavodsk,61.78,34.35,35.6,74,13,11.18,RU,1604960562
75,Mataura,-46.19,168.86,52.0,80,17,3.0,NZ,1604960025
76,Wajir,1.75,40.06,79.16,71,16,8.3,KE,1604960562
77,Dawei,14.08,98.2,73.85,73,17,8.61,MM,1604960562
78,Lebu,-37.62,-73.65,55.17,83,0,22.84,CL,1604960037
79,Hobart,-42.88,147.33,62.69,67,0,10.29,AU,1604959806
80,Bereda,43.27,-7.54,48.27,100,68,5.99,ES,1604960438
81,Mmabatho,-25.85,25.63,69.8,77,75,5.82,ZA,1604960505
82,Khatanga,71.97,102.5,18.23,97,97,16.13,RU,1604960020
83,Esperance,-33.87,121.9,51.8,87,40,14.99,AU,1604960058
84,Chui,-33.7,-53.46,63.07,78,96,10.13,UY,1604960049
85,Saint Paul Harbor,57.79,-152.41,44.6,45,1,5.82,US,1604959891
86,Jamestown,42.1,-79.24,66.51,43,1,10.29,US,1604960032
87,Tura,25.52,90.22,64.4,77,0,4.03,IN,1604960159
88,Champerico,14.3,-91.92,77.59,83,40,11.41,GT,1604960161
89,Somanda,-3.37,33.95,72.7,65,100,4.36,TZ,1604960564
90,Faya,18.39,42.45,59.9,44,0,5.82,SA,1604960564
91,Maceió,-9.67,-35.74,77.0,88,40,9.17,BR,1604960014
92,Uri,34.08,74.03,49.71,43,100,3.87,IN,1604960564
93,Kununurra,-15.77,128.73,80.6,94,45,4.7,AU,1604960138
94,Caravelas,-17.71,-39.25,75.11,83,54,7.09,BR,1604960565
95,Bluff,-46.6,168.33,52.0,80,1,3.0,NZ,1604960025
96,Palaiochori,40.95,24.18,56.5,71,0,2.26,GR,1604960565
97,Margate,51.38,1.39,56.39,93,96,1.99,GB,1604960093
98,North Bend,43.41,-124.22,48.15,66,90,6.93,US,1604960109
99,Grand Gaube,-20.01,57.66,71.6,78,40,9.17,MU,1604960503
100,Pangoa,-12.12,-73.0,84.22,54,98,1.45,PE,1604960566
101,East London,-33.02,27.91,61.2,80,100,8.55,ZA,1604960078
102,Labuhan,-6.88,112.21,78.55,82,100,8.37,ID,1604960566
103,Mossamedes,-15.2,12.15,70.88,75,2,8.1,AO,1604960164
104,Strezhevoy,60.73,77.59,28.4,100,90,2.24,RU,1604960567
105,Nizwá,22.93,57.53,69.12,63,0,2.28,OM,1604960567
106,Son La,21.32,103.9,53.92,88,0,1.74,VN,1604960345
107,Bathsheba,13.22,-59.52,77.0,88,40,5.82,BB,1604960147
108,Iqaluit,63.75,-68.51,5.0,77,75,8.05,CA,1604960071
109,Saint-Augustin,51.23,-58.65,33.48,82,77,1.63,CA,1604960103
110,Misratah,32.38,15.09,69.03,58,56,8.81,LY,1604960568
111,Lorengau,-2.02,147.27,83.16,73,56,0.81,PG,1604960094
112,Provideniya,64.38,-173.3,37.4,93,90,11.18,RU,1604960039
113,Port Hardy,50.7,-127.42,41.0,93,90,17.22,CA,1604960077
114,Carnarvon,-24.87,113.63,66.2,55,90,14.99,AU,1604960059
115,Bambous Virieux,-20.34,57.76,71.6,78,40,9.17,MU,1604960059
116,Hofn,64.25,-15.21,47.55,95,100,18.66,IS,1604960066
117,Norman Wells,65.28,-126.83,17.6,85,90,19.46,CA,1604960050
118,Geraldton,-28.77,114.6,57.2,76,90,12.75,AU,1604960071
119,Xichang,27.9,102.26,48.78,75,0,0.78,CN,1604960569
120,Alofi,-19.06,-169.92,80.6,65,34,14.99,NU,1604960041
121,San Quintín,30.48,-115.95,62.47,47,64,14.88,MX,1604960569
122,Souillac,-20.52,57.52,71.6,78,40,9.17,MU,1604960036
123,Sioux Lookout,50.1,-91.92,33.8,86,90,5.82,CA,1604960570
124,Ostrovnoy,68.05,39.51,37.47,79,98,21.81,RU,1604960570
125,Pahlgām,34.03,75.33,41.0,51,100,3.44,IN,1604960570
126,San Cristobal,7.77,-72.22,86.0,58,40,11.41,VE,1604959964
127,Kasane,-17.82,25.15,80.92,25,35,3.76,BW,1604960571
128,Dwārka,22.24,68.97,78.91,47,0,7.36,IN,1604960057
129,Praia da Vitória,38.73,-27.07,65.08,77,75,19.86,PT,1604960437
130,Cockburn Town,21.46,-71.14,81.34,83,97,20.74,TC,1604960016
131,Upernavik,72.79,-56.15,0.63,81,52,7.78,GL,1604960059
132,Ngunguru,-35.62,174.5,62.73,69,57,5.93,NZ,1604960572
133,Fortuna,40.6,-124.16,52.86,45,1,10.29,US,1604960072
134,Arraial do Cabo,-22.97,-42.03,77.0,88,75,6.93,BR,1604959858
135,Kaitangata,-46.28,169.85,53.01,67,4,5.99,NZ,1604960027
136,Te Anau,-45.42,167.72,56.44,58,45,1.92,NZ,1604960573
137,Wamba,8.93,8.6,75.06,43,60,3.02,NG,1604960573
138,Tasiilaq,65.61,-37.64,31.46,97,100,29.86,GL,1604960031
139,Atasū,48.68,71.64,32.67,97,100,27.78,KZ,1604960573
140,Ambon City,-3.7,128.18,78.01,15,100,4.92,ID,1604960166
141,Qaanaaq,77.48,-69.36,-6.7,68,0,7.07,GL,1604960064
142,Laguna,38.42,-121.42,55.87,24,1,4.7,US,1604960027
143,Flin Flon,54.77,-101.86,14.0,72,40,10.29,CA,1604960103
144,Cabedelo,-6.98,-34.83,78.8,88,75,11.41,BR,1604960574
145,Kidal,18.44,1.41,72.05,22,0,10.6,ML,1604960062
146,Bongandanga,1.5,21.05,68.61,94,100,1.5,CD,1604960575
147,Yazd,31.9,54.37,57.2,44,0,4.7,IR,1604960575
148,Cedral,23.8,-100.73,82.89,17,0,1.77,MX,1604960575
149,Kailua,21.4,-157.74,78.53,74,75,18.34,US,1604960497
150,Pacific Grove,36.62,-121.92,56.73,28,1,4.7,US,1604960067
151,Dikson,73.51,80.55,7.65,95,100,9.4,RU,1604960017
152,Tiksi,71.69,128.87,-10.12,87,0,6.42,RU,1604960020
153,Verāval,20.9,70.37,77.47,48,0,6.4,IN,1604960090
154,Deer Lake,49.17,-57.43,39.2,93,90,8.05,CA,1604960576
155,Touros,-5.2,-35.46,75.2,94,75,5.82,BR,1604960073
156,Togur,58.36,82.83,33.6,92,94,12.41,RU,1604960469
157,Susanville,40.42,-120.65,38.48,38,1,4.7,US,1604960576
158,Broken Hill,-31.95,141.43,77.0,38,0,12.75,AU,1604960577
159,Leningradskiy,69.38,178.42,18.48,93,99,5.17,RU,1604960069
160,Nikolskoye,59.7,30.79,36.93,86,0,8.95,RU,1604960038
161,Havelock,34.88,-76.9,71.28,83,75,10.29,US,1604960577
162,Villarrica,-25.75,-56.43,70.29,96,100,2.91,PY,1604960577
163,Cabras,39.93,8.53,57.0,77,95,1.99,IT,1604960578
164,Baruun-Urt,46.68,113.28,27.95,86,0,11.65,MN,1604960136
165,Nabire,-3.37,135.48,79.12,80,66,2.57,ID,1604960578
166,Muros,42.78,-9.06,55.0,94,1,2.51,ES,1604960052
167,Ahipara,-35.17,173.17,63.16,66,36,12.15,NZ,1604960146
168,Inírida,3.87,-67.92,79.48,86,88,2.3,CO,1604960579
169,Taltal,-25.4,-70.48,62.8,65,28,6.13,CL,1604960158
170,Talnakh,69.49,88.4,8.6,92,40,6.71,RU,1604960058
171,Chernyshevskiy,63.01,112.47,30.18,97,99,9.82,RU,1604960579
172,Saint Anthony,45.02,-93.22,40.14,86,90,13.87,US,1604960580
173,Honningsvåg,70.98,25.97,38.25,75,94,23.71,NO,1604960580
174,Pitogo,13.78,122.09,78.67,86,79,10.07,PH,1604960580
175,Yangambi,0.81,24.43,70.05,99,100,1.81,CD,1604960581
176,Kpandae,8.47,-0.01,80.96,52,67,2.15,GH,1604960581
177,Barrow,71.29,-156.79,14.0,72,90,13.87,US,1604960036
178,Rawson,-43.3,-65.1,71.15,55,66,10.27,AR,1604960068
179,Poum,-20.23,164.02,74.5,74,81,12.26,NC,1604960582
180,Hong Kong,22.29,114.16,68.43,55,100,1.99,HK,1604959869
181,Mushie,-3.02,16.9,70.93,97,100,0.54,CD,1604960582
182,Altay,47.87,88.12,27.88,86,31,3.96,CN,1604960582
183,Carinhanha,-14.3,-43.77,78.66,53,57,7.7,BR,1604960583
184,Gualaquiza,-3.4,-78.55,77.97,53,94,1.9,EC,1604960584
185,Korla,41.76,86.15,41.02,57,29,8.19,CN,1604960584
186,Hirara,24.8,125.28,71.6,68,75,17.22,JP,1604960584
187,Port Blair,11.67,92.75,80.55,81,18,13.06,IN,1604959813
188,Hjallerup,57.16,10.15,48.99,89,100,3.0,DK,1604960585
189,Kahului,20.89,-156.47,82.04,46,40,11.41,US,1604960062
190,West Wendover,40.74,-114.07,37.4,32,1,11.41,US,1604960586
191,Khovd,48.01,91.64,32.38,75,12,10.16,MN,1604960586
192,Lac du Bonnet,50.25,-96.06,23.5,73,100,20.8,CA,1604960586
193,Tuatapere,-46.13,167.68,52.0,80,11,3.0,NZ,1604960066
194,Kuala Terengganu,5.33,103.14,75.11,94,20,3.36,MY,1604960586
195,Pevek,69.7,170.31,16.54,93,66,7.99,RU,1604960021
196,Birjand,32.87,59.22,41.0,52,0,4.7,IR,1604960587
197,Punto Fijo,11.7,-70.2,84.15,73,99,7.56,VE,1604960588
198,Lima,-12.04,-77.03,69.4,60,0,11.41,PE,1604959957
199,Taoudenni,22.68,-3.98,81.19,16,0,9.44,ML,1604960588
200,Viesīte,56.35,25.56,39.67,93,81,5.5,LV,1604960588
201,Kirakira,-10.45,161.92,84.0,76,45,7.09,SB,1604960588
202,San Nicolas,18.17,120.6,75.2,94,40,3.36,PH,1604960589
203,Narrabri,-30.32,149.78,62.6,59,0,6.93,AU,1604960589
204,Coyhaique,-45.58,-72.07,68.0,42,0,4.7,CL,1604960590
205,Hobyo,5.35,48.53,80.51,78,27,16.91,SO,1604960080
206,Camacha,33.08,-16.33,64.4,72,40,4.7,PT,1604960590
207,Tuxpan,19.55,-103.4,84.2,48,40,11.41,MX,1604960590
208,Rock Sound,24.9,-76.2,80.37,82,71,22.28,BS,1604960094
209,Guérande,47.33,-2.43,55.71,100,90,6.93,FR,1604960591
210,Mitsamiouli,-11.38,43.28,78.03,79,2,11.81,KM,1604960592
211,Vangaindrano,-23.35,47.6,70.38,91,27,6.08,MG,1604960066
212,Cherskiy,68.75,161.3,1.81,93,98,5.14,RU,1604960070
213,Acapulco de Juárez,16.86,-99.89,86.0,70,20,8.05,MX,1604960592
214,Srednekolymsk,67.45,153.68,-8.21,91,100,7.83,RU,1604959931
215,Salalah,17.02,54.09,77.0,53,0,3.36,OM,1604960083
216,Shitanjing,39.23,106.34,38.44,68,0,0.49,CN,1604960593
217,Gandajika,-6.75,23.95,68.2,99,100,7.4,CD,1604960593
218,Kurtalan,37.93,41.7,53.6,87,0,2.24,TR,1604960593
219,Hāgere Hiywet,8.98,37.85,53.24,51,0,4.61,ET,1604960594
220,Saint-Philippe,-21.36,55.77,68.38,68,0,6.93,RE,1604960029
221,Lompoc,34.64,-120.46,59.7,26,1,11.41,US,1604960030
222,Bredy,52.42,60.34,30.02,92,0,12.68,RU,1604960594
223,Charters Towers,-20.1,146.27,74.26,59,0,15.73,AU,1604960594
224,Amos,48.57,-78.12,64.4,68,75,9.17,CA,1604960595
225,Juliaca,-15.5,-70.13,58.84,36,40,10.36,PE,1604960595
226,Divnoye,45.91,43.35,49.06,76,98,3.58,RU,1604960595
227,Marawi,8.0,124.29,75.0,94,12,3.0,PH,1604960100
228,Hailey,43.52,-114.32,26.91,86,90,9.17,US,1604960596
229,Verkh-Usugli,52.7,115.17,20.12,96,0,1.3,RU,1604960596
230,Kalangala,-0.31,32.23,71.6,83,20,6.93,UG,1604960596
231,Tubualá,9.52,-79.03,76.32,83,40,6.93,PA,1604960597
232,Ürümqi,43.8,87.6,39.2,51,0,2.24,CN,1604960597
233,Mirador,-6.37,-44.36,80.96,59,65,3.18,BR,1604960598
234,Kalabo,-14.97,22.68,79.39,38,53,3.15,ZM,1604960598
235,Aklavik,68.22,-135.01,3.2,77,90,12.75,CA,1604960055
236,Dunedin,-45.87,170.5,54.77,65,15,9.73,NZ,1604959864
237,Presidencia Roque Sáenz Peña,-26.79,-60.44,79.65,69,70,5.21,AR,1604960599
238,Namatanai,-3.67,152.43,83.73,71,100,3.8,PG,1604960516
239,Dinghaicun,26.28,119.79,62.6,67,75,11.18,CN,1604960599
240,Narsaq,60.92,-46.05,23.99,94,68,2.39,GL,1604960066
241,Isangel,-19.55,169.27,80.6,78,75,5.82,VU,1604960017
242,Royan,45.63,-1.03,53.37,100,0,7.18,FR,1604960600
243,Havøysund,71.0,24.66,35.6,80,90,2.24,NO,1604960089
244,Ola,59.58,151.28,6.75,85,60,12.06,RU,1604960018
245,Tamandaré,-8.76,-35.1,77.09,84,10,12.12,BR,1604960600
246,Kapit,2.02,112.93,73.36,91,99,1.95,MY,1604960600
247,Dakar,14.69,-17.44,75.2,88,0,10.31,SN,1604960601
248,Marathon,44.9,-89.77,65.75,82,75,18.34,US,1604960601
249,Marzuq,14.4,46.47,63.43,55,0,1.79,YE,1604960024
250,Itoman,26.12,127.67,68.72,64,90,16.11,JP,1604960601
251,Belaya Gora,68.53,146.42,-20.27,88,74,2.04,RU,1604960602
252,Sitka,57.05,-135.33,42.8,81,75,5.82,US,1604960065
253,Ocós,14.51,-92.19,81.55,83,40,5.82,GT,1604960602
254,Velletri,41.67,12.78,53.29,87,0,2.53,IT,1604960602
255,Yuzhnyy,53.25,83.69,35.6,94,75,17.9,RU,1604960603
256,Plastun,44.76,136.29,18.9,80,0,6.73,RU,1604960603
257,Palana,59.12,159.97,17.56,95,75,3.44,RU,1604960485
258,Makakilo City,21.35,-158.09,80.73,69,75,8.05,US,1604960096
259,Langnau,46.94,7.79,41.76,100,90,1.12,CH,1604960604
260,Port Lincoln,-34.73,135.87,76.51,43,73,19.44,AU,1604960604
261,Saint-Louis,16.33,-15.0,84.2,42,0,5.97,SN,1604960074
262,Mezen',65.85,44.24,33.93,89,93,11.43,RU,1604960604
263,Warrnambool,-38.38,142.48,73.99,52,0,7.0,AU,1604960605
264,San Patricio,28.02,-97.52,81.34,54,20,12.75,US,1604960085
265,Nanortalik,60.14,-45.24,27.66,94,98,10.89,GL,1604960037
266,Kiryat Gat,31.61,34.76,65.34,72,0,2.37,IL,1604960605
267,Terrace,54.52,-128.6,32.0,83,90,2.24,CA,1604960605
268,San Fernando del Valle de Catamarca,-28.47,-65.79,76.46,56,84,8.01,AR,1604960605
269,Killybegs,54.63,-8.45,54.0,94,80,1.99,IE,1604960606
270,Umm Hājar,13.3,19.7,80.42,26,7,10.51,TD,1604960606
271,Evanston,42.04,-87.69,73.71,51,64,8.99,US,1604960382
272,Abnūb,27.27,31.15,64.4,52,0,5.35,EG,1604960606
273,Plettenberg Bay,-34.05,23.37,54.7,76,13,5.35,ZA,1604960607
274,Porto-Novo,6.5,2.6,84.2,79,40,8.05,BJ,1604960607
275,Manadhoo,5.77,73.38,83.12,75,55,9.53,MV,1604960095
276,Longyearbyen,78.22,15.64,24.8,79,75,11.41,SJ,1604960607
277,Bethel,41.37,-73.41,67.46,37,1,3.36,US,1604960040
278,Hay River,60.82,-115.8,28.4,74,94,6.93,CA,1604960608
279,Kruisfontein,-34.0,24.73,51.01,86,0,1.99,ZA,1604960064
280,Point Pedro,9.82,80.23,80.55,76,37,17.29,LK,1604960608
281,Garissa,-0.45,39.64,82.17,64,26,10.96,KE,1604960608
282,Shingū,33.73,135.98,46.44,75,17,5.39,JP,1604960090
283,Pimentel,-6.84,-79.93,69.8,64,0,20.8,PE,1604960609
284,Arua,3.02,30.91,64.42,82,94,3.22,UG,1604960569
285,Turaif,31.67,38.66,57.2,87,0,13.87,SA,1604960069
286,Khanbari,27.37,87.2,60.15,39,0,3.58,NP,1604960609
287,Felanitx,39.47,3.15,57.13,93,20,3.29,ES,1604960609
288,Tilichiki,60.47,166.1,4.75,92,7,10.6,RU,1604960609
289,Asău,46.43,26.4,39.99,97,83,2.33,RO,1604960079
290,Grand Falls,47.05,-67.74,65.28,55,1,4.7,CA,1604959974
291,San Jose,37.34,-121.89,58.42,18,40,8.05,US,1604960463
292,Gorin,51.2,136.67,10.08,87,0,2.01,RU,1604960032
293,Puerto Baquerizo Moreno,-0.9,-89.6,77.0,61,20,10.29,EC,1604960610
294,Prince Rupert,54.32,-130.32,41.43,93,90,9.17,CA,1604960160
295,Antsohihy,-14.88,47.99,78.24,63,85,7.49,MG,1604960610
296,Antón Lizardo,19.05,-95.98,84.09,66,5,3.36,MX,1604960610
297,Petropavlovsk-Kamchatskiy,53.05,158.65,24.8,62,100,11.18,RU,1604960611
298,Portland,45.52,-122.68,41.45,59,90,4.7,US,1604960242
299,Peleduy,59.63,112.74,29.32,97,100,6.38,RU,1604960611
300,Waimalu,21.4,-157.94,79.5,74,75,10.29,US,1604960611
301,Arman',59.7,150.17,5.13,85,72,9.91,RU,1604960611
302,Fort Nelson,58.81,-122.7,23.0,85,75,4.7,CA,1604960046
303,Umluj,25.02,37.27,77.81,55,0,8.72,SA,1604960076
304,Ilulissat,69.22,-51.1,5.88,92,100,4.09,GL,1604960052
305,Assiut,27.18,31.18,64.4,52,0,6.4,EG,1604960528
306,Kudahuvadhoo,2.67,72.89,83.01,76,31,10.13,MV,1604960612
307,Sabang,5.89,95.32,80.67,77,67,5.14,ID,1604960055
308,Guiyang,26.58,106.72,39.2,93,0,3.33,CN,1604960110
309,Salinópolis,-0.61,-47.36,81.16,79,51,10.76,BR,1604960612
310,Nyurba,63.28,118.33,17.15,97,100,4.0,RU,1604960104
311,Guilin,25.28,110.29,48.2,87,0,4.47,CN,1604960613
312,Joshīmath,30.57,79.57,47.91,45,8,3.67,IN,1604960613
313,Khorixas,-20.37,14.97,67.53,38,26,8.12,NA,1604960613
314,Zhezkazgan,47.8,67.71,41.31,87,100,23.31,KZ,1604960031
315,Segezha,63.74,34.32,33.87,91,69,13.49,RU,1604960613
316,Abū Zabad,12.35,29.25,74.1,22,0,9.98,SD,1604960613
317,Lira,2.23,32.91,65.08,88,100,2.3,UG,1604960613
318,Arrondissement de Dinan,48.42,-2.25,53.19,100,90,8.05,FR,1604960614
319,São Filipe,14.9,-24.5,80.85,73,99,7.87,CV,1604960085
320,Sulangan,11.14,123.72,82.29,78,95,11.99,PH,1604960614
321,Pauini,-7.71,-66.98,85.15,66,88,2.66,BR,1604960393
322,Vostok,46.49,135.88,1.62,95,57,3.96,RU,1604960614
323,Kenai,60.55,-151.26,31.96,92,1,9.17,US,1604960081
324,Kurumkan,54.3,110.3,27.41,92,14,0.69,RU,1604960615
325,Puerto Colombia,10.99,-74.95,86.0,70,75,10.29,CO,1604960615
326,Jalu,29.03,21.55,61.41,69,0,8.66,LY,1604960615
327,Dalbandin,28.89,64.41,55.35,37,0,7.0,PK,1604960099
328,Kropotkin,45.44,40.58,49.86,80,64,1.48,RU,1604960615
329,Matara,5.95,80.54,77.22,85,32,2.84,LK,1604960615
330,Hervey Bay,-25.3,152.85,75.0,57,4,5.01,AU,1604960533
331,Quibor,9.93,-69.62,76.75,77,82,2.01,VE,1604960616
332,Sukhobezvodnoye,57.05,44.89,31.66,97,100,8.72,RU,1604960616
333,Westport,41.14,-73.36,63.52,52,1,3.36,US,1604960025
334,Torbay,47.67,-52.73,38.88,90,94,1.99,CA,1604960037
335,Guane,22.2,-84.09,79.48,84,100,10.92,CU,1604960617
336,Saldanha,-33.01,17.94,53.6,71,0,11.41,ZA,1604960125
337,Sivaki,52.63,126.75,0.68,91,58,1.41,RU,1604960617
338,Kathmandu,27.72,85.32,50.0,93,20,3.36,NP,1604960617
339,Bereket,39.24,55.52,51.44,53,7,8.01,TM,1604960617
340,Yumen,40.28,97.2,29.44,80,1,4.05,CN,1604960089
341,Benjamin Constant,-4.38,-70.03,84.09,78,0,2.24,BR,1604960617
342,Staryy Nadym,65.61,72.68,12.61,96,100,8.28,RU,1604960618
343,Betioky,-23.72,44.38,73.15,94,80,3.51,MG,1604960618
344,Hualmay,-11.1,-77.61,66.7,71,83,10.09,PE,1604960147
345,Keetmanshoop,-26.58,18.13,62.6,20,0,3.36,NA,1604960618
346,Muisne,0.6,-80.03,75.38,80,63,9.64,EC,1604960022
347,Bud,39.45,-86.18,73.45,60,90,4.7,US,1604960619
348,São Félix do Xingu,-6.64,-51.99,80.46,72,48,4.0,BR,1604960619
349,Gorontalo,0.54,123.06,73.74,81,92,1.95,ID,1604960092
350,Araouane,18.9,-3.53,82.15,16,1,8.52,ML,1604960619
351,Codrington,-38.27,141.97,69.4,65,0,14.18,AU,1604960022
352,Kawalu,-7.38,108.21,71.29,92,93,0.45,ID,1604960065
353,Xining,36.62,101.77,34.25,61,0,1.74,CN,1604960114
354,Shumyachi,53.86,32.42,32.92,93,0,7.43,RU,1604960619
355,Mandalgovi,45.76,106.27,30.04,77,0,8.84,MN,1604960150
356,Biak,-0.91,122.88,77.05,71,99,2.62,ID,1604960131
357,Sibolga,1.74,98.78,76.82,80,93,3.67,ID,1604960052
358,Hukuntsi,-24.0,21.75,77.11,32,89,19.6,BW,1604960620
359,Tezu,27.92,96.17,65.95,43,0,3.69,IN,1604960054
360,Billings Metropolitan Area,45.78,-108.5,26.6,58,40,14.99,US,1604960547
361,Egvekinot,66.32,-179.17,23.07,98,100,23.47,RU,1604960065
362,Luangwa,-15.62,30.42,85.26,26,18,3.56,ZM,1604960620
363,Ilhabela,-23.78,-45.36,72.07,89,100,11.1,BR,1604960621
364,Torbat-e Jām,35.24,60.62,39.02,82,0,3.27,IR,1604960621
365,Noyabrsk,63.2,75.45,19.78,98,96,4.34,RU,1604960621
366,São João da Barra,-21.64,-41.05,80.6,74,0,11.41,BR,1604960060
367,Sokolo,14.73,-6.12,79.74,16,0,7.96,ML,1604960621
368,Klaksvík,62.23,-6.59,50.0,100,80,16.11,FO,1604960045
369,Penzance,50.12,-5.54,53.6,100,36,13.87,GB,1604960621
370,Ust'-Tarka,55.57,75.7,31.78,95,43,11.74,RU,1604960622
371,Beringovskiy,63.05,179.32,36.12,93,85,16.35,RU,1604960622
372,Sharanga,57.18,46.54,29.79,97,99,9.15,RU,1604960623
